"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1181","1197","1153","861","896","909","680","736","675","666","567","535","816","737","684","781","663","622","783","775","733","779","752","656","981","943","924","959","1034","1006","883","852","862","739","845","836"
"27 - ALAGOAS","3327","3617","3568","2038","2301","2191","2370","2366","2216","2293","2223","2058","2274","2503","2580","2495","2231","2134","3234","3307","3109","2706","2881","2303","2978","3222","3074","2840","3219","3532","2679","2762","2930","2566","2545","2658"
"16 - AMAPA","1343","1263","1235","656","768","658","441","483","466","178","167","151","222","208","140","295","357","304","371","526","476","295","478","483","341","633","692","389","584","803","239","282","325","289","477","593"
"13 - AMAZONAS","6568","6811","6304","4499","4871","4518","4786","4687","4524","1459","1292","1262","5399","4329","4061","6191","4189","4306","5326","5441","4450","5292","5892","4358","5038","5380","4968","5605","6113","6856","4849","4827","4996","4363","4697","4686"
"29 - BAHIA","12369","13512","13378","8260","9348","9195","9127","9134","8742","9354","8399","8068","8487","8794","8524","10573","9758","9029","11680","11671","10234","9627","10241","9090","10260","11904","11376","9143","10887","11180","9303","10005","10696","7981","9056","9673"
"23 - CEARA","8978","10170","10727","6076","6123","5993","6326","6288","5943","6579","6424","5970","3806","4230","4094","7857","8583","8158","7532","7434","7373","6471","7401","7285","6524","7597","7534","6311","7373","8093","6132","6626","7230","5077","5716","6194"
"53 - DISTRITO FEDERAL","3144","3334","3206","2255","2178","1995","2260","2220","2099","2669","2289","1991","2856","2787","2657","3005","2782","2566","2959","3146","2707","2744","2898","2675","2655","2975","3184","2490","2673","2890","2416","2245","2498","2217","2306","2485"
"32 - ESPIRITO SANTO","4174","4579","4522","2842","2787","2846","3158","2897","3026","3622","3140","2678","4026","3759","3710","4008","3384","3010","4294","4252","3850","3751","3859","3295","3725","4312","4200","3727","4059","4352","3421","3614","3813","3092","3426","3699"
"52 - GOIAS","6748","6889","7275","4457","4110","4113","4657","4330","4018","6021","5117","4213","6037","6009","5672","5459","5004","4615","5636","6152","5457","5460","5938","5053","5267","5758","6035","5797","6201","7029","5372","5160","5685","4043","4326","4463"
"21 - MARANHAO","7187","7647","7010","4524","4900","4567","4707","4953","4642","3636","4069","3647","3398","3981","3822","4075","4565","4771","4707","5024","5151","4396","4759","4531","4596","5632","5609","4834","5556","6036","4504","4659","4938","3518","3824","4077"
"51 - MATO GROSSO","4827","4831","4883","3332","3201","3178","3145","3157","3011","3873","3625","3177","3888","3670","3513","3938","3359","3100","4184","4143","3577","4005","4107","3562","4015","4377","4307","4048","4535","4921","3973","3894","4251","2916","3202","3349"
"50 - MATO GROSSO DO SUL","3254","3414","3570","2340","2270","2315","2593","2271","2375","2902","2591","2258","2910","2654","2429","3394","2999","2649","3299","3226","3002","3136","3423","2996","3099","3476","3285","2951","3301","3775","2829","2992","3234","2334","2416","2593"
"31 - MINAS GERAIS","16719","19088","19286","12473","12163","12535","14169","13600","13589","15940","14782","14292","14741","14733","14553","16946","16384","15218","17650","17931","16682","15621","17311","15822","15824","17804","17778","15358","17210","18906","14857","15342","16824","13011","14381","15449"
"15 - PARA","8843","8965","8527","6194","6700","6193","6149","6508","6112","4391","3965","3657","4773","4721","4213","6025","5904","5414","6359","6471","6153","5955","6810","6056","6527","7464","7312","6506","7461","8155","6141","6695","7095","4746","5302","5523"
"25 - PARAIBA","4000","4273","4251","2527","2593","2421","2467","2482","2445","2624","2349","2215","2781","2860","2835","2565","2360","2137","3485","3769","3536","3150","3195","2632","3307","3565","3578","3071","3561","3887","2815","2903","3056","2471","2595","2701"
"41 - PARANA","10284","11115","11862","7601","6695","7373","8469","7299","7513","9708","8398","7515","8751","8730","8195","10257","9706","8564","11317","11529","10577","9515","10445","9307","10010","11490","11743","9722","10436","11456","9663","9615","10779","8067","8856","9257"
"26 - PERNAMBUCO","8543","9179","9185","5381","5898","5791","5716","5988","5585","6345","5777","5322","6405","7029","6870","7009","6674","6263","8437","8782","8122","7952","8117","7140","7595","8532","8463","7364","8767","9139","7366","7764","8258","6059","6685","7272"
"22 - PIAUI","3511","3694","3575","2354","2431","2348","2243","2214","2020","1927","2135","1902","2084","2572","2397","2316","2524","2474","2337","2657","2687","2395","2829","2757","2267","2844","2862","2377","3072","3432","2029","2421","2718","1611","2102","2236"
"33 - RIO DE JANEIRO","10577","12068","11406","6627","6550","6518","8701","7639","7799","8542","6940","6147","9183","8969","8067","10394","9390","8459","11558","11098","10135","11042","11423","10278","10665","11218","10905","10791","11141","12437","9936","9575","10225","8980","9147","9319"
"24 - RIO GRANDE DO NORTE","2887","3121","3105","2091","2035","2116","2108","2166","2070","2099","1874","1750","2199","2429","2374","2184","2024","1944","2614","2716","2419","2863","2802","2408","2746","2818","2790","2826","3349","3506","2675","2642","2543","2246","2549","2551"
"43 - RIO GRANDE DO SUL","10111","11296","11853","7697","6856","7418","8392","7139","7347","10108","8193","7053","9454","9213","8457","9609","9659","8227","10250","10574","9463","8992","9356","9205","8727","9740","10227","8945","10020","10780","8508","8709","9586","7561","8403","8932"
"11 - RONDONIA","2316","2293","2154","1633","1615","1473","1653","1671","1478","1815","1732","1532","1839","1820","1810","2162","1723","1664","2193","2013","2005","1916","2111","1743","1911","2226","2027","2029","1943","2152","1832","1848","2062","1618","1746","1631"
"14 - RORAIMA","1325","1173","1007","832","843","734","834","823","661","711","639","516","761","665","698","750","685","587","880","920","776","809","856","800","865","919","864","850","884","898","797","755","763","791","737","755"
"42 - SANTA CATARINA","6962","7782","8037","5587","4822","5231","6006","5030","5024","6429","5644","5078","6806","6778","6151","6990","6615","6036","6700","6760","6198","6155","6386","5854","6172","6852","6536","6446","7074","7586","6305","6132","6523","5017","5580","5825"
"35 - SAO PAULO","41589","47170","47141","31918","29284","30808","39260","35597","37602","27771","24688","22593","27197","26856","25690","30753","29943","27121","31335","31129","29707","27097","29840","28206","27535","30524","30067","27229","29266","32275","26805","26375","28785","22037","24104","25261"
"28 - SERGIPE","1826","1933","2153","1191","1238","1321","1612","1660","1643","1311","1311","1290","1288","1264","1328","1651","1487","1608","1926","1919","1734","1866","2038","1698","1896","2040","1928","1736","2016","2122","1692","1846","2085","1521","1731","1814"
"17 - TOCANTINS","2158","2263","2260","1348","1283","1357","1417","1499","1499","1628","1613","1448","1537","1575","1699","1775","1598","1671","1837","1736","1728","1688","1762","1421","1783","1970","1792","1751","1904","2119","1627","1724","1682","1326","1517","1572"
