"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1588","1485","1342","1194","1244","1219","1330","1299","1260","1384","1305","1297","1364","1278","1257","1316","1168","1156","1446","1271","1215","1296","1232","1092","1319","1356","1202","1355","1375","1395","1164","1078","1093","983","878","862"
"27 - ALAGOAS","3358","3340","3271","2955","3078","3009","2961","2656","2650","3067","3014","3072","3091","2854","2652","2590","2427","2184","3694","3406","3147","3000","2975","2898","2681","2995","2769","2887","3151","3084","2519","2469","2624","2197","2107","2021"
"16 - AMAPA","1777","1693","1555","1457","1452","1277","1292","1366","1297","1339","1386","1197","1305","1320","1189","1152","1177","1161","1278","1173","1345","1217","1231","1428","1155","1151","1084","1247","1287","1312","1179","1006","986","966","838","853"
"13 - AMAZONAS","7649","7340","7087","5837","6095","6202","6238","6875","6491","6293","6445","6313","6143","6264","6604","5512","5455","5469","6531","6663","7077","6123","6539","6850","5435","5896","6187","6362","6487","6745","6235","5349","5584","4748","4366","4204"
"29 - BAHIA","17457","17673","18807","13192","12955","13526","14421","14472","14244","15370","13700","13573","14751","13466","13214","12454","11329","9705","18660","16907","15620","15654","14907","14068","14311","15789","13425","14799","16082","15063","12359","12415","12293","7284","7819","7547"
"23 - CEARA","12740","12799","12109","9676","9686","9695","9868","10446","10388","10976","10957","10862","10726","10125","10366","10792","9515","8944","12761","11478","10731","11426","12086","11229","10063","11665","10427","10641","11199","11336","9285","8595","8773","7109","6826","6556"
"53 - DISTRITO FEDERAL","3773","3937","3985","2907","2944","3132","3424","3423","3476","3207","3027","3058","3478","3325","3256","3298","2965","2758","3845","3735","3541","3456","3570","3345","2765","3267","2975","3131","3509","3683","2509","2190","2325","2208","2189","2265"
"32 - ESPIRITO SANTO","4640","4946","4899","3553","3481","3861","4201","4088","4234","4059","3585","3774","4411","4267","4333","3959","3789","3171","4742","4327","4118","4215","4273","4184","3597","3868","3336","4171","4439","4362","3665","3570","3586","2697","2921","2944"
"52 - GOIAS","8894","9093","9032","6689","6592","6545","7613","7334","7469","8136","7180","7021","7964","7554","7264","7142","6645","5771","8363","8060","7500","7448","7906","7853","6349","7081","6575","6741","6946","7431","5892","5504","5774","3872","3960","3598"
"21 - MARANHAO","11338","10845","10219","7870","7888","7262","7949","8652","8048","8621","8454","8367","8365","8216","8409","7511","6739","6511","9025","8525","8376","8235","7904","7646","7693","7827","7286","8154","8299","7901","6608","5890","5697","4435","4173","3780"
"51 - MATO GROSSO","5336","5528","5485","3983","3985","4138","4645","4670","4802","4857","4696","4625","5006","4739","4753","4585","4191","4073","5480","5120","4924","4827","5296","4782","4039","4775","4403","4356","4792","5249","3859","3570","3900","2919","2788","3066"
"50 - MATO GROSSO DO SUL","3073","3339","3341","2386","2240","2582","2860","2745","2839","3102","2659","2604","3001","2783","2677","2750","2592","2224","3478","3309","2984","3081","3345","3194","2563","2978","2771","2724","3153","3207","2410","2483","2701","2250","2282","2511"
"31 - MINAS GERAIS","26569","27685","28538","20034","20507","21260","23056","23672","24277","24706","21370","21813","24435","22480","22978","23148","21255","18713","27399","25333","23105","24000","24991","23540","20156","23055","20173","19262","21185","21925","15934","15569","17025","11795","12811","13266"
"15 - PARA","13320","12703","11492","10406","10228","9503","10564","10583","9906","10704","10942","9718","10226","10303","9569","9557","8820","8523","11085","10499","10444","10541","10520","10746","9818","10517","9772","10252","10374","9872","8992","8086","8768","6167","5796","5644"
"25 - PARAIBA","4473","4513","4390","3492","3513","3512","3831","3834","3767","4030","3645","3731","4027","3754","3792","3030","2967","2532","4611","4470","4025","3954","3687","3766","3681","4019","3792","3590","4036","3841","3396","3380","3257","2431","2280","2256"
"41 - PARANA","14982","15364","15743","10950","10874","11849","13399","13159","13606","13833","11912","11717","13480","12867","12359","13542","12581","10745","16749","14765","14045","15256","15104","14727","12458","14332","12382","12723","13810","13828","10554","10867","11772","7439","7919","8323"
"26 - PERNAMBUCO","9231","9155","9349","6839","7012","7130","7953","7915","7677","7939","7368","7636","7888","7585","7496","6853","6455","5597","9124","8633","8278","8378","8329","8413","7308","7835","7185","7906","8821","8665","6951","6816","7032","5487","5493","5257"
"22 - PIAUI","4445","4256","4189","3581","3275","3095","3411","3496","3480","3748","3679","3289","3779","3731","3554","3466","3279","3244","4017","3970","3955","3574","3920","3933","3228","3485","3257","3246","3556","3613","3069","2956","3194","2057","1961","2101"
"33 - RIO DE JANEIRO","12214","12648","12997","9412","9567","10133","10702","10011","10894","10705","8976","9076","11016","9940","9222","10288","9356","7794","12540","11630","10625","11510","11749","11387","9775","10565","9742","11164","11521","11937","10379","8982","9017","7669","7320","7002"
"24 - RIO GRANDE DO NORTE","4220","4373","4327","3316","3373","3220","3550","3553","3487","3631","3603","3559","3825","3620","3462","3361","3021","2757","4566","4207","3888","4081","3829","3769","3464","3966","3485","3764","4314","4038","2757","2835","2853","1874","2006","1893"
"43 - RIO GRANDE DO SUL","12676","13908","14208","10697","10428","11201","11984","11214","12319","12491","11762","11814","12228","11723","11028","11901","11017","10191","14343","13048","12356","12887","12931","12138","10660","11610","10192","10926","12062","12250","9844","9569","9487","6937","7720","7444"
"11 - RONDONIA","2831","2960","2679","2368","2329","2374","2518","2692","2635","2447","2669","2632","2541","2567","2548","2409","2228","2203","2814","2631","2647","2536","2546","2433","2181","2458","2229","2434","2512","2584","2250","2075","2133","1759","1600","1537"
"14 - RORAIMA","1273","1180","960","1119","964","797","1139","1001","903","1153","931","860","1180","1009","874","791","780","715","999","930","973","1000","877","941","1000","972","877","1128","1096","1033","1170","896","823","997","757","753"
"42 - SANTA CATARINA","9007","9710","9514","7410","7038","7896","8394","8812","9284","8561","8043","8049","8509","8103","8360","8145","7727","7057","10128","8989","8606","8949","8946","8428","7505","8483","7439","8072","8752","8761","6886","6544","6934","4072","4434","4506"
"35 - SAO PAULO","50532","53854","54230","38464","38178","40031","46913","44786","47653","48502","41416","41975","48804","45735","44329","44577","42339","35709","54057","50070","47394","46864","47215","46980","39656","43085","40235","43164","46114","47716","40712","37859","39080","30875","33324","34062"
"28 - SERGIPE","3096","3167","3251","2361","2415","2554","2740","2610","2837","2721","2405","2504","2906","2520","2699","2410","2133","1797","3172","2925","2689","3019","2788","2695","2723","2807","2412","2044","2444","2488","1839","1882","1967","1492","1442","1490"
"17 - TOCANTINS","2648","2599","2558","1867","1888","1829","2000","2087","2007","1955","1976","2006","2058","2037","2172","1984","1657","1721","2352","2022","2011","2213","2269","2010","1929","2050","1793","2140","2258","2238","1884","1734","1688","1309","1382","1299"
