"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","263","241","4","249","201","2","316","249","1","344","286","0","317","242","6","332","262","4","563","356","1","628","443","7","592","458","6","566","425","7","568","470","5","492","426","6"
"27 - ALAGOAS","327","231","82","206","140","45","294","287","71","300","267","60","355","291","77","362","279","92","465","396","122","456","316","87","475","476","113","493","491","84","542","493","165","436","326","78"
"16 - AMAPA","371","292","1","320","267","1","293","276","0","318","302","2","254","258","4","212","186","5","320","232","5","300","273","6","308","295","3","295","228","1","309","290","2","220","188","7"
"13 - AMAZONAS","206","196","5","176","180","7","238","197","5","251","197","5","263","192","4","288","227","5","411","320","8","405","278","9","511","413","6","629","510","6","642","615","7","624","561","5"
"29 - BAHIA","2210","2049","177","1685","1541","134","2342","2128","152","2522","2054","148","2588","2104","148","2523","2042","125","3573","2995","192","3043","2691","156","3450","3479","153","3437","3381","148","3802","3435","287","3094","2759","116"
"23 - CEARA","807","866","138","648","614","123","797","648","144","829","632","120","825","680","135","910","711","114","1014","807","142","913","843","148","990","955","163","1075","937","203","1044","898","193","952","853","137"
"53 - DISTRITO FEDERAL","58","52","0","213","214","0","647","530","0","771","609","0","500","378","0","461","415","0","652","573","0","522","428","0","481","499","1","451","446","1","320","309","1","173","168","0"
"32 - ESPIRITO SANTO","116","122","8","92","79","3","143","93","4","123","75","3","112","93","1","146","136","6","150","99","4","158","162","2","154","156","4","434","398","1","443","426","7","538","485","8"
"52 - GOIAS","1417","1274","25","1181","1046","15","1568","1453","20","2140","1715","14","2085","1824","29","2488","2132","14","3103","2612","15","3074","2657","18","4418","4581","13","4454","4498","13","4408","4314","22","4152","3721","17"
"21 - MARANHAO","1359","1172","131","1049","865","86","1396","1270","110","1453","1173","122","1628","1221","116","1721","1346","96","2113","1706","114","1881","1625","103","2251","1974","104","2343","1913","113","2728","2216","193","2016","1573","72"
"51 - MATO GROSSO","256","190","31","209","174","20","308","218","28","328","214","27","353","262","26","399","312","27","523","365","27","482","382","29","666","614","32","1020","909","30","1303","1127","53","1105","948","32"
"50 - MATO GROSSO DO SUL","1611","1454","10","1321","1194","13","1516","1410","12","1614","1375","17","1500","1314","20","1651","1429","14","1921","1603","25","1662","1688","33","1776","1936","23","1763","1725","21","1758","1854","32","1506","1379","18"
"31 - MINAS GERAIS","8257","8008","296","7936","7099","169","8363","7850","241","10086","8351","183","9553","8387","173","10329","8926","189","11242","10104","210","11524","10947","173","12645","12434","164","12463","12694","179","11916","11863","205","11505","11465","176"
"15 - PARA","2338","1653","74","1879","1443","43","3140","2762","55","3607","2992","47","3848","3070","69","4526","3535","53","5678","4454","71","6365","5460","87","7168","6441","59","7245","6203","58","8360","7071","96","6595","5410","49"
"25 - PARAIBA","1106","1002","34","936","754","19","1232","1201","26","1409","1125","25","1550","1303","23","1632","1243","26","2337","1876","34","2041","1744","29","2098","2129","32","2204","2038","42","2153","2054","57","1817","1607","24"
"41 - PARANA","3481","3153","157","3206","2616","126","3957","3220","152","3985","3279","109","3780","3409","103","4030","3712","125","4564","4116","123","4097","3826","137","6317","6289","142","6306","6329","129","5874","5908","146","4919","5162","83"
"26 - PERNAMBUCO","554","494","64","540","467","44","593","579","51","610","530","58","652","564","65","684","579","75","884","701","79","920","750","87","1193","1135","83","1284","1188","62","1290","1224","97","1253","1247","64"
"22 - PIAUI","410","386","24","382","359","18","619","666","21","830","706","25","1029","879","43","1236","1016","26","1550","1370","40","1583","1487","20","2002","1927","29","2218","2013","40","2562","2254","35","2098","1763","18"
"33 - RIO DE JANEIRO","205","223","106","222","194","72","277","212","97","259","193","70","267","199","68","281","207","73","360","293","72","349","277","87","347","323","99","364","366","115","399","339","145","375","306","81"
"24 - RIO GRANDE DO NORTE","84","65","12","73","29","16","79","63","24","89","65","16","92","76","14","100","67","19","128","113","27","118","92","18","139","137","28","101","151","25","180","160","44","181","129","24"
"43 - RIO GRANDE DO SUL","4689","4444","23","4042","3603","26","5117","4411","17","4921","4214","30","4652","4350","17","4803","4378","11","5774","5072","20","5367","4914","10","5676","5898","24","5959","5951","15","5595","5676","20","4957","5221","21"
"11 - RONDONIA","78","98","0","67","74","0","88","100","0","71","80","1","69","61","3","48","58","1","52","66","4","50","49","1","52","53","4","75","68","2","39","37","2","46","39","5"
"14 - RORAIMA","13","7","14","8","4","8","3","16","8","3","7","3","7","5","10","8","4","7","13","4","6","7","7","1","7","9","3","5","7","8","10","8","9","6","5","3"
"42 - SANTA CATARINA","795","760","41","655","555","22","918","726","30","964","702","37","987","802","30","1022","817","31","1135","1006","41","1115","940","32","1090","1053","25","1044","1122","29","1074","1027","32","873","834","16"
"35 - SAO PAULO","1044","975","327","862","755","251","1331","944","316","1369","971","237","1527","1118","268","1697","1298","250","2154","1565","341","2231","1590","294","2359","2059","300","2597","2281","317","2526","2145","319","2462","2273","277"
"28 - SERGIPE","76","58","6","74","49","9","101","101","10","133","126","5","194","139","11","259","158","7","353","294","12","442","418","5","606","595","8","662","676","8","604","638","15","562","514","6"
"17 - TOCANTINS","286","259","6","234","207","3","316","279","11","401","374","3","534","486","8","788","537","5","815","631","3","1037","924","6","1175","1076","8","1227","1128","12","1315","1225","10","1082","959","5"
