"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1258","1138","1025","957","955","948","1356","1272","1120","1090","987","942","1403","1298","1142","1274","1037","934","1207","1058","871","1373","1199","1010","756","748","635","1311","1198","1070","1273","1280","1151","1057","1009","939"
"27 - ALAGOAS","1504","1464","1555","1031","1048","1167","1616","1606","1567","1176","968","1028","1473","1236","1176","1343","1093","947","1799","1390","1196","1870","1528","1268","1135","1140","869","1701","1731","1329","1623","1572","1488","1267","1239","1125"
"16 - AMAPA","1122","1058","879","936","918","806","1233","1186","1173","1105","1060","936","1236","1072","919","961","891","820","1102","883","842","1327","1124","1033","1066","894","857","1365","1211","1089","1265","1184","951","1153","1134","974"
"13 - AMAZONAS","6386","5994","5684","4707","4695","4348","6900","6622","6433","5206","4815","4699","5842","6032","5379","5440","5121","4818","5775","5373","5525","6224","5763","5763","2565","2599","2456","5620","5586","5233","5851","5392","5348","4993","4491","4725"
"29 - BAHIA","10478","10560","10976","7533","7861","7898","11963","10993","11267","12400","10276","9756","14415","12518","11034","12904","11381","9175","16549","14925","13042","16636","15109","13595","11497","12221","11179","14914","15839","14431","13942","14478","14543","10873","10820","10719"
"23 - CEARA","5957","6329","6183","4195","4417","4358","6418","5973","6124","5291","4633","4736","6467","6280","5856","6168","5795","4788","6718","5822","5285","8310","6962","6351","5233","4900","4337","8014","7835","6515","8035","7773","6893","6497","6494","5956"
"53 - DISTRITO FEDERAL","3234","3433","3258","2486","2654","2614","3969","3562","3575","3109","2612","2783","3796","3635","3135","3203","3038","2511","3469","3368","3162","3742","3305","2904","2180","2168","2162","3462","3599","3149","2949","3029","2980","2926","2897","3068"
"32 - ESPIRITO SANTO","1947","1923","2122","1350","1340","1336","2254","2026","2025","1885","1355","1472","2326","2045","1958","2434","2020","1544","2787","2425","2056","2917","2928","2375","1695","1682","1497","2969","3029","2968","2792","2888","2894","2385","2566","2686"
"52 - GOIAS","7282","7569","7939","5218","5354","5346","7660","7439","7564","6292","5447","5512","7527","6863","6128","6979","6218","5183","7378","6708","6099","7904","7484","6449","3807","4087","3607","7379","7685","7055","7216","7147","7142","5784","5728","5715"
"21 - MARANHAO","8032","7688","7020","5597","5671","5222","8271","7758","7423","6140","5552","5489","7626","7321","6745","7242","6060","5532","8237","6365","6317","9051","7835","6948","6046","5853","4880","8165","7897","6760","8314","7379","6841","6036","5246","4969"
"51 - MATO GROSSO","2910","2988","3070","2044","1983","2088","3172","3044","2938","2593","2158","2110","3244","2839","2595","3128","2605","2181","3134","2738","2285","3384","3287","2811","1873","1877","1717","3101","3172","2919","3028","2999","2968","2323","2230","2203"
"50 - MATO GROSSO DO SUL","2273","2434","2414","1672","1711","1692","2515","2199","2384","2049","1726","1570","2522","2216","1974","2499","2224","1817","2660","2276","1996","2773","2617","2278","2004","2008","1804","2462","2672","2425","2450","2495","2583","1814","1991","2129"
"31 - MINAS GERAIS","18662","20752","21422","14139","14473","14638","21871","19976","21395","18748","14986","15389","22281","19935","17799","21264","19055","15426","21707","19651","17350","22720","22077","19838","12781","12832","11595","20622","22412","21266","19647","20094","19845","16131","16678","17521"
"15 - PARA","11959","10883","10451","8797","8399","7578","12243","11927","10919","9032","8755","7902","10877","10612","9085","9983","8925","8538","10139","8814","8449","11781","10405","9988","7722","6760","6248","10912","10260","8833","10805","9931","8796","8466","7447","6912"
"25 - PARAIBA","2913","3082","3218","1972","2063","2348","2983","2883","3052","2321","2010","2080","2840","2462","2361","2618","2010","1752","3507","2747","2390","3599","2917","2457","2321","2383","1976","3183","3249","2619","3178","2931","2835","2536","2346","2351"
"41 - PARANA","12795","14036","14033","9396","9544","9889","13955","12553","13787","11867","9993","9823","14349","12372","11009","13770","12035","10224","14010","13014","11485","15201","14813","13101","7675","8271","7754","12712","14335","13734","12649","12741","13485","9146","10050","10996"
"26 - PERNAMBUCO","3922","3826","4204","2699","2986","3075","4745","4318","4484","3812","3054","3154","4591","4129","3555","4427","3646","3023","5017","4247","3614","5739","5022","4345","3778","3673","3022","5464","5560","4960","5685","5523","5333","4846","4802","4387"
"22 - PIAUI","3453","3302","3374","2442","2472","2457","3448","3338","3275","2764","2529","2437","3269","3081","2797","3260","2852","2614","3514","2924","2650","3850","3452","3072","2277","2311","1986","3303","3655","3230","3582","3371","3329","2566","2357","2444"
"33 - RIO DE JANEIRO","2387","2316","2170","1879","1694","1528","2803","2251","2144","2365","1639","1448","2736","2220","1490","2749","2122","1522","3084","2423","1805","3566","2966","2208","3029","2595","1969","3298","3338","2625","2930","2964","2567","2789","2825","2627"
"24 - RIO GRANDE DO NORTE","2080","2162","2225","1638","1753","1801","2366","2286","2368","1875","1636","1738","2387","1976","1806","2354","1800","1586","3067","2421","2127","3085","2697","2278","1910","1878","1480","2689","2800","2365","2724","2680","2460","2283","2256","2143"
"43 - RIO GRANDE DO SUL","9686","11134","11258","7509","7235","8069","11469","10553","11645","9597","7629","7490","11517","10228","9458","11195","9816","8274","10989","10346","9030","12037","11530","10337","6246","6725","6099","11063","12225","11453","10444","10982","11154","8745","9343","9997"
"11 - RONDONIA","1478","1532","1265","1090","1100","1035","1749","1690","1625","1490","1305","1346","2041","1800","1763","2187","1826","1551","2241","1941","1698","2452","2363","2043","1638","1645","1540","2254","2338","2270","2193","2149","2283","1843","1835","1835"
"14 - RORAIMA","62","46","16","35","26","20","66","49","43","53","36","22","70","45","35","91","58","43","117","89","53","196","155","130","176","189","179","238","216","221","353","239","209","264","239","239"
"42 - SANTA CATARINA","7663","8238","8664","5587","5454","5991","8587","8248","8808","7551","6136","6138","8887","7670","7377","8473","7526","6176","8626","8367","7016","9188","8817","7644","4445","4769","4875","8293","9502","8879","7743","8414","8602","5356","6003","6584"
"35 - SAO PAULO","41976","45562","44499","32562","31428","32272","52290","43712","45546","44750","33758","32057","50147","42972","37320","46628","42063","32486","49288","45660","36239","50766","49845","40704","28807","29278","25626","45498","49309","44523","43176","44171","41468","35781","36818","39250"
"28 - SERGIPE","2146","2175","2389","1522","1498","1656","2534","2405","2459","1960","1637","1622","2380","2144","1969","2076","1785","1534","2595","2094","1796","2711","2367","2001","1426","1408","1219","2420","2632","2252","2324","2391","2363","1966","1891","1923"
"17 - TOCANTINS","2270","2298","2376","1473","1542","1489","2262","2326","2413","1763","1543","1677","2346","2055","2130","2134","1649","1506","2079","1792","1478","2637","2396","2001","1403","1458","1123","2211","2214","2165","2136","2094","2009","1512","1442","1371"
