"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1486","1379","181","1249","1179","337","1405","1234","870","1088","1067","868","1153","1154","960","1078","1028","944","974","915","910","1161","1093","1020","796","722","632","948","941","890","1161","1058","937","953","880","748"
"27 - ALAGOAS","1343","1446","612","1079","1105","638","1229","1234","961","1113","1002","890","1054","1071","825","1115","977","882","1359","1174","1112","1439","1318","1224","1105","1128","993","1106","1189","1013","1317","1389","1273","852","981","943"
"16 - AMAPA","405","296","103","317","400","131","329","361","179","328","300","210","311","366","237","306","289","232","425","357","322","478","446","405","474","438","404","482","408","371","586","416","391","528","427","375"
"13 - AMAZONAS","5329","5285","1505","4744","4661","2626","5662","5611","4906","5238","4691","4270","4976","4938","4314","5262","5180","4934","5138","4984","5007","5491","5381","5584","2981","2946","2881","4986","4695","4525","5572","5009","5038","4354","4047","3802"
"29 - BAHIA","8473","9630","1550","7270","8143","2860","8165","8899","5701","7417","7238","5348","8629","7477","6107","8060","7008","6143","10205","8734","7747","10704","9799","8250","7489","7902","6251","7932","8357","7146","8887","9181","8977","6357","6161","6073"
"23 - CEARA","4046","4304","2685","3290","3627","2527","3912","4006","3495","3756","3748","3631","3505","3531","3096","4281","3917","3549","3913","3636","3406","4024","4759","4258","3914","3755","3394","4882","5125","4608","4718","5272","5052","4251","4434","4285"
"53 - DISTRITO FEDERAL","999","2400","332","1207","2197","689","790","1237","1645","864","940","1230","869","844","1023","814","808","785","700","709","633","784","743","698","563","448","411","740","632","519","969","727","636","1148","806","663"
"32 - ESPIRITO SANTO","1632","1909","993","1533","1701","1079","1726","1639","1487","1735","1448","1468","1708","1598","1482","1805","1706","1520","1864","1585","1469","1895","1943","1735","1234","1268","1150","1560","1666","1564","1764","2035","2189","1602","1768","1856"
"52 - GOIAS","7640","8661","3437","6637","7076","4429","7238","7297","6645","6611","6334","5629","7203","6638","6007","7533","6866","6711","6825","6315","6068","7439","7761","6875","4971","5123","4580","5652","6106","5910","6763","6702","6921","5358","5060","5169"
"21 - MARANHAO","7663","7015","2118","6175","5917","3025","6660","6584","4960","6108","5924","5066","6349","5798","4857","6044","5315","4697","6002","5183","4744","7151","6396","5713","5197","4850","4305","5255","4859","4246","6432","5646","5219","4061","3591","3257"
"51 - MATO GROSSO","2699","2924","531","2307","2329","927","2621","2708","2176","2331","2397","2096","2658","2570","2307","2931","2574","2557","2801","2559","2587","2906","3179","2799","1840","1985","1870","2119","2305","2196","2576","2583","2819","1916","1955","1970"
"50 - MATO GROSSO DO SUL","2425","2580","691","2060","2022","993","2214","2223","1745","2099","1812","1435","2299","2066","1723","2451","2181","1852","2219","2058","1743","2397","2531","2301","1937","2225","1981","1810","1878","1853","2225","2159","2368","1564","1556","1653"
"31 - MINAS GERAIS","21262","23503","10319","19601","21098","13262","21189","21704","19299","20290","19018","17816","21291","19510","17874","22218","20781","19582","21075","20128","18329","22664","24148","22741","13791","15135","14324","17418","19314","19240","18986","19154","21131","16451","16525","18042"
"15 - PARA","12562","11929","1598","10372","10495","3675","11034","11076","6742","9972","9831","7405","9734","9546","7691","10507","9653","8699","9171","8023","7847","11562","11038","10478","8601","8398","7591","8576","8247","7477","10448","9453","8860","7882","6981","6260"
