"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","965","740","5","768","526","7","1065","743","13","908","738","4","931","738","3","1015","725","9","1259","889","15","1104","898","14","989","915","8","1087","1080","15","1164","1009","7","1058","778","13"
"27 - ALAGOAS","675","667","142","469","445","115","683","702","159","561","452","117","696","623","146","668","510","108","1155","1014","180","1008","846","213","958","929","150","967","1046","170","1159","1106","185","922","817","143"
"16 - AMAPA","418","321","3","285","253","2","318","262","2","277","241","5","223","237","6","206","212","2","279","267","6","355","296","3","339","249","9","315","300","8","327","268","3","343","245","9"
"13 - AMAZONAS","1010","823","10","924","679","6","1285","1172","16","1295","1153","15","1294","1305","12","1629","1513","23","1874","1656","22","1327","1143","37","2192","2013","38","2573","2328","39","3001","2559","38","2804","2617","31"
"29 - BAHIA","5334","4898","203","4155","3625","141","5600","5178","227","5452","4808","190","6101","5177","209","6025","4956","150","8174","7089","291","6407","5742","367","6643","6755","258","6947","7226","320","7594","7104","329","5695","5405","274"
"23 - CEARA","2859","3036","227","2416","2274","200","2094","1941","235","1699","1561","205","1941","1799","245","2423","1979","280","2779","2525","310","2409","2445","288","2856","2967","345","4189","4313","359","5007","4932","414","4685","4373","349"
"53 - DISTRITO FEDERAL","176","158","1","254","215","0","415","413","3","64","44","1","134","131","1","265","286","5","858","597","2","854","899","4","1227","1475","4","710","530","1","1278","991","8","1212","1358","8"
"32 - ESPIRITO SANTO","734","685","5","622","518","2","814","789","5","792","685","3","827","809","6","974","821","2","1150","971","7","943","889","16","1380","1365","13","1372","1426","11","1503","1395","22","1425","1461","21"
"52 - GOIAS","6367","5795","25","4902","4495","24","6182","5823","30","5165","4739","30","5861","5457","37","6578","5558","39","6621","5891","50","5624","5515","52","5999","6319","50","6676","6374","59","7149","6220","57","5807","5564","85"
"21 - MARANHAO","3962","3399","163","2849","2465","121","3769","3463","205","3376","3026","182","3428","3270","229","3967","3207","218","4818","4090","251","4226","3649","406","4815","4213","282","5235","4829","306","5968","4756","349","4260","3570","311"
"51 - MATO GROSSO","1682","1445","33","1244","1168","26","1722","1656","53","1491","1291","52","1630","1416","45","1805","1602","32","1947","1737","65","1508","1426","60","1679","1723","52","1953","1917","66","2185","1872","70","1845","1736","69"
"50 - MATO GROSSO DO SUL","2148","2083","27","1851","1620","24","2302","2076","42","2216","1860","30","2288","2006","48","2444","2185","39","2460","2292","44","2270","2148","60","2132","2205","51","2046","2203","67","2146","1992","64","1654","1661","47"
"31 - MINAS GERAIS","15180","14435","196","12780","11138","178","16669","15333","304","15588","13465","182","15714","14144","272","18114","15909","257","18343","17040","391","14265","14282","461","17221","17929","341","17947","18222","416","20194","18214","462","18065","17009","470"
"15 - PARA","10170","8603","78","8424","7310","72","10337","9181","100","9104","8451","89","8442","8251","106","9867","8648","118","10602","8670","118","9757","8540","180","9641","9194","125","10150","9469","152","11134","9656","144","9062","7984","164"
"25 - PARAIBA","2984","2790","44","2036","2030","32","2855","2705","49","2598","2138","52","2732","2430","62","2418","1941","43","3449","3115","81","2444","2217","120","2612","2633","80","2624","2658","113","2810","2479","124","2350","2058","91"
"41 - PARANA","7883","7810","165","6654","5942","123","8943","7646","168","8336","7351","156","9231","8582","161","10452","9675","181","12030","11075","249","9149","8969","286","11673","12330","226","11777","12354","258","13135","12177","265","10960","11000","284"
