"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","7","7","0","5","3","1","9","6","1","7","7","0","11","12","3","11","8","2","9","11","3","17","18","2","15","7","2","16","3","4","16","19","1","24","9","0"
"27 - ALAGOAS","30","36","5","46","30","2","55","33","7","47","33","7","63","55","5","65","53","11","56","52","14","82","70","14","76","40","13","79","84","25","95","75","18","71","53","14"
"16 - AMAPA","4","0","0","5","3","0","1","2","1","4","2","1","15","6","1","7","2","0","3","3","1","80","16","0","84","7","0","178","61","0","141","84","0","134","103","2"
"13 - AMAZONAS","0","1","1","3","1","0","3","1","3","3","2","0","4","3","0","6","3","2","6","2","0","90","11","2","88","11","0","115","50","3","128","66","0","102","79","1"
"29 - BAHIA","116","80","27","87","60","24","138","91","33","113","84","21","151","133","34","158","134","38","168","122","31","479","168","40","628","135","34","1019","401","49","943","638","53","713","584","29"
"23 - CEARA","96","73","10","76","59","2","88","90","8","95","69","6","136","91","9","147","91","4","148","139","7","293","158","16","394","132","13","472","278","29","479","349","20","355","287","19"
"53 - DISTRITO FEDERAL","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","1","0","15","7","0","10","6","0","9","12","1"
"32 - ESPIRITO SANTO","1","1","4","1","1","2","2","1","0","6","2","0","9","2","1","8","4","0","5","7","0","47","11","2","73","5","1","67","35","5","67","67","2","74","56","2"
"52 - GOIAS","32","22","5","38","18","2","46","31","2","26","26","1","51","41","6","52","35","6","61","41","9","205","52","6","361","51","6","422","171","4","374","297","4","392","309","5"
"21 - MARANHAO","195","140","41","159","100","15","186","155","28","181","152","34","187","180","45","187","168","55","135","131","43","288","174","84","232","112","37","376","211","64","379","227","39","288","201","41"
"51 - MATO GROSSO","29","23","6","15","13","10","29","29","10","24","18","3","27","26","14","21","26","5","32","21","6","40","23","7","48","26","5","58","40","12","44","50","11","42","33","11"
"50 - MATO GROSSO DO SUL","10","3","0","11","2","4","7","6","2","9","8","0","17","8","5","21","9","5","24","12","3","316","23","5","521","37","5","704","270","8","765","586","5","558","494","3"
"31 - MINAS GERAIS","200","159","27","144","108","26","220","181","27","228","123","17","320","214","35","294","244","21","358","281","49","1325","318","54","1714","314","52","2171","1161","72","1926","1452","80","1973","1622","78"
"15 - PARA","73","47","7","64","42","1","62","43","8","68","56","3","78","77","10","87","63","18","88","53","12","158","80","20","176","67","10","212","102","7","240","150","20","220","100","11"
"25 - PARAIBA","39","38","2","31","18","2","41","38","7","53","32","2","59","45","7","51","46","7","52","57","7","173","59","12","319","48","16","420","205","13","514","351","13","353","277","12"
"41 - PARANA","61","69","14","72","53","19","95","61","16","67","65","15","113","98","9","112","66","24","105","101","28","278","129","34","443","95","22","779","362","35","834","677","29","696","616","31"
"26 - PERNAMBUCO","49","34","16","57","28","7","70","50","12","68","55","8","72","63","11","48","76","11","76","59","10","141","52","13","134","57","19","236","146","18","247","143","23","195","165","16"
"22 - PIAUI","23","21","3","18","15","3","20","28","0","25","15","3","23","19","4","32","21","3","29","21","1","67","37","3","84","28","4","90","58","6","119","66","4","71","62","4"
"33 - RIO DE JANEIRO","37","30","13","46","29","26","49","34","16","43","38","15","56","50","16","56","49","27","51","51","13","98","55","30","103","51","18","108","63","36","118","100","32","84","80","28"
"24 - RIO GRANDE DO NORTE","10","7","9","13","2","4","14","12","4","7","12","2","11","14","4","11","8","1","14","11","8","15","8","0","20","12","9","22","7","7","15","13","6","16","19","7"
"43 - RIO GRANDE DO SUL","56","60","3","57","40","4","81","54","2","93","38","4","129","78","4","121","82","4","183","102","6","619","175","7","1201","165","12","1745","792","11","1813","1357","13","1557","1379","7"
"11 - RONDONIA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","13","1","0","5","1","0","4","9","0","4","5","0","7","3","1"
"14 - RORAIMA","1","1","1","0","2","0","1","3","0","2","0","1","2","0","2","1","5","0","1","2","1","5","1","4","3","1","0","5","3","3","5","4","2","3","2","1"
"42 - SANTA CATARINA","32","38","5","27","19","8","49","31","5","57","30","6","79","49","8","88","51","3","87","76","6","333","74","6","361","93","7","470","274","10","443","367","17","314","336","11"
"35 - SAO PAULO","162","154","67","140","124","63","200","148","88","200","122","61","232","182","84","216","196","83","220","202","73","475","230","128","401","178","92","575","388","138","563","483","130","496","469","121"
"28 - SERGIPE","4","1","1","2","2","0","6","6","0","5","2","1","3","6","1","1","5","1","5","2","1","25","1","1","25","4","1","22","16","0","15","25","2","21","21","0"
"17 - TOCANTINS","17","12","1","15","14","3","20","10","2","21","12","2","29","17","1","33","18","4","27","22","1","75","36","7","52","24","6","74","52","8","57","50","9","75","45","10"
