"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","6","0","0","2","2","1","4","3","1","4","4","2","11","2","0","5","5","1","8","5","0","8","6","0","4","4","3","7","6","1","8","7","0","5","5","1"
"27 - ALAGOAS","22","16","4","12","8","0","16","14","1","10","18","1","26","16","1","23","9","1","24","28","1","36","22","1","31","17","1","24","31","1","26","31","4","31","21","7"
"16 - AMAPA","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","2","3","0"
"13 - AMAZONAS","0","5","1","1","0","0","1","0","0","2","0","1","5","1","3","1","4","0","3","0","0","2","5","2","2","3","0","0","2","0","2","2","1","1","0","0"
"29 - BAHIA","48","32","22","36","36","15","57","45","21","54","43","22","50","51","19","65","46","21","67","48","19","91","62","25","67","59","18","66","80","19","80","76","19","66","61","15"
"23 - CEARA","37","58","4","29","34","1","40","37","4","32","29","5","47","38","2","37","35","5","41","39","3","35","45","4","44","37","2","49","27","2","69","47","8","51","41","1"
"53 - DISTRITO FEDERAL","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32 - ESPIRITO SANTO","1","3","3","1","2","2","3","1","3","2","0","0","2","4","2","5","3","1","3","0","1","5","4","2","3","4","1","5","3","0","0","4","3","1","4","2"
"52 - GOIAS","21","11","3","14","11","2","27","16","0","28","21","2","23","18","1","23","28","1","23","19","2","38","21","2","14","17","1","22","35","4","28","18","3","19","15","1"
"21 - MARANHAO","112","93","22","88","78","12","126","99","30","97","83","19","97","104","15","157","125","25","134","82","16","171","140","31","113","119","17","121","146","22","135","127","19","106","92","21"
"51 - MATO GROSSO","14","6","4","8","10","4","14","12","1","20","7","1","10","11","4","19","20","3","17","8","5","23","20","12","15","17","3","12","18","6","27","17","4","13","12","2"
"50 - MATO GROSSO DO SUL","6","5","8","7","3","4","5","2","2","11","6","1","6","5","4","4","6","7","5","4","4","1","7","2","3","3","2","5","1","3","2","1","2","3","7","2"
"31 - MINAS GERAIS","110","98","23","110","81","27","152","114","23","133","112","22","146","132","23","168","152","33","130","114","27","153","166","27","144","152","21","147","127","21","147","138","24","112","128","19"
"15 - PARA","38","32","5","45","36","2","49","34","1","49","33","8","47","45","3","58","51","7","42","36","6","52","63","7","41","40","6","39","44","5","51","40","5","42","29","4"
"25 - PARAIBA","24","23","0","26","21","2","29","24","1","20","27","0","33","21","2","24","25","3","24","27","0","25","32","3","21","21","3","28","25","0","36","21","3","25","20","1"
"41 - PARANA","29","35","12","36","32","18","38","28","15","43","33","8","60","32","7","51","41","9","54","50","8","55","49","12","53","56","17","61","48","12","64","61","21","53","46","14"
"26 - PERNAMBUCO","34","44","7","15","21","5","34","31","14","34","19","8","32","35","10","32","37","12","42","32","4","44","36","7","34","31","8","36","40","4","34","36","3","31","33","13"
"22 - PIAUI","18","17","0","17","12","1","14","15","1","16","17","2","18","15","0","27","13","2","13","18","1","28","24","0","19","16","2","7","18","4","24","19","0","15","9","2"
"33 - RIO DE JANEIRO","18","20","10","18","20","13","23","22","12","25","17","15","31","20","14","36","20","9","26","31","13","24","39","20","36","31","13","34","21","20","32","35","18","26","28","16"
"24 - RIO GRANDE DO NORTE","2","1","3","5","2","3","3","6","2","3","4","1","9","4","3","5","2","3","1","5","4","5","7","3","8","3","4","8","2","0","5","10","1","5","6","1"
"43 - RIO GRANDE DO SUL","39","31","0","33","29","1","57","32","5","48","37","1","62","44","1","59","50","0","49","53","0","80","64","4","50","54","2","67","53","5","64","52","1","41","58","7"
"11 - RONDONIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0"
"14 - RORAIMA","0","2","1","0","1","0","1","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","0","0","1","2","1","1","4","0","0"
"42 - SANTA CATARINA","7","9","5","17","12","3","11","8","4","23","15","5","26","12","2","29","20","8","36","17","3","35","26","1","27","34","3","28","29","2","34","35","6","19","18","0"
"35 - SAO PAULO","103","93","49","82","84","34","117","96","47","129","73","44","131","100","33","155","128","36","133","111","37","140","154","65","102","122","70","122","114","73","151","106","71","131","117","52"
"28 - SERGIPE","0","1","1","0","1","0","1","0","1","2","0","0","3","1","0","1","1","0","1","1","1","0","3","0","2","1","2","0","0","0","1","1","1","5","1","0"
"17 - TOCANTINS","16","20","2","9","12","0","14","17","1","12","12","2","6","11","1","10","11","2","20","7","1","16","6","3","15","13","0","14","20","2","11","15","0","10","14","3"
