"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1449","1369","1320","1201","1144","1077","1320","1336","1192","1304","1222","1134","1249","1172","1132","1318","1095","1040","1528","1398","1227","1633","1512","1372","1176","1192","1013","1458","1406","1266","1315","1214","1255","1127","1043","932"
"27 - ALAGOAS","1972","1881","1942","1307","1263","1237","1621","1525","1467","1719","1496","1471","1870","1651","1499","2089","1675","1443","3249","2851","2529","3198","3065","2826","2506","2715","2280","3037","3322","2902","2772","2682","2647","2280","2159","2332"
"16 - AMAPA","1650","1370","1228","1164","1027","907","1436","1396","1224","1333","1226","1123","1311","1209","900","1321","1303","1062","1380","1382","1300","1651","1636","1735","1176","1173","1164","1523","1462","1444","1455","1247","1253","1178","883","928"
"13 - AMAZONAS","6791","6356","6152","5194","5184","4916","6203","6343","5917","5587","5694","5375","5809","5981","5273","5541","5209","4700","6882","6508","6815","6799","7093","7026","5385","5683","5355","6570","6484","6775","5986","5479","5858","5291","4916","4863"
"29 - BAHIA","17038","16558","17557","12699","11909","12322","13898","13442","12854","14644","13324","12894","14905","13435","11790","14599","12027","10522","19156","16353","15360","17688","17019","15727","14235","15907","13160","16085","18065","16521","14331","14619","15618","11040","11350","11866"
"23 - CEARA","10582","10883","11012","8030","7047","7020","8997","8536","8001","8957","8362","8593","9461","8592","7717","11253","9081","8423","11801","9854","9328","11073","10952","9815","9454","9481","7723","11276","11431","10595","11083","10132","10002","8475","8729","8232"
"53 - DISTRITO FEDERAL","3481","3557","3667","2766","2851","2760","3097","3188","3075","3167","2820","2814","3203","2911","2800","3518","3291","3062","3753","3434","3197","3477","3666","3706","3116","3204","2927","3546","3574","3456","3181","3242","3181","2876","2920","2843"
"32 - ESPIRITO SANTO","3566","3686","3858","2791","2669","2860","3403","3132","3079","3456","2886","2885","3742","3450","3333","3782","3471","3063","4196","3850","3342","4108","4256","4146","3379","3630","3229","3878","4306","4177","3757","3577","3999","2973","3225","3385"
"52 - GOIAS","8661","8589","8910","6122","6164","5734","6924","6934","6772","6900","6533","6292","7650","6944","6294","8086","6819","6652","8520","7812","7302","8543","9261","8618","6533","7186","6397","7954","8399","8459","7445","7010","7501","5746","5610","5749"
"21 - MARANHAO","10552","10113","9341","7337","6947","6363","8697","8304","7696","8567","8333","8064","8187","8016","7317","8377","7302","6969","9950","8520","8701","12456","10168","9764","7930","7890","6656","9149","9416","8992","8835","7675","7658","6428","5678","5587"
"51 - MATO GROSSO","3875","3734","3563","2911","2778","2562","3297","3339","3077","3766","3494","3252","4070","3786","3312","4249","3800","3516","4589","4120","3952","4602","4899","4829","3991","4050","3416","4898","4991","5052","4241","4128","4249","3512","3622","3576"
"50 - MATO GROSSO DO SUL","2659","2747","2915","2131","2049","2148","2431","2245","2288","2464","2315","2228","2753","2356","2130","2596","2370","2061","2888","2767","2546","3092","3344","3224","2399","2612","2408","2881","3106","3207","2630","2645","2896","2023","2125","2230"
"31 - MINAS GERAIS","23516","23983","25147","18341","17162","17801","21286","20508","19979","21784","19577","18881","22721","20654","18883","24377","21869","19827","25780","23228","21627","25603","26121","24467","21531","21880","19572","25744","26567","25936","22729","22549","22921","18844","19459","19223"
"15 - PARA","13144","12051","11379","9123","8476","7655","10930","10896","9580","10112","9398","8850","9910","9399","8213","9958","8907","8105","11623","10370","10372","12364","11747","11222","9521","9229","8201","11376","11141","10214","10845","9459","9375","8517","7751","7131"
"25 - PARAIBA","3812","4005","3728","2783","2722","2620","3214","3113","3100","3325","2954","3001","3184","2931","2668","3247","2850","2598","4239","3677","3484","4099","3966","3743","3141","3471","3008","3901","4054","3827","3820","3698","3899","2820","2838","2882"
