"Município";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";" Total"
"110001 ALTA FLORESTA D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"25";"29";"4";"0";"0";"0";"0";"3";"5";"0";"0";"0";"67"
"110002 ARIQUEMES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"69";"0";"0";"0";"0";"8";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103"
"110003 CABIXI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"10";"7";"11";"12";"4";"0";"0";"5";"4";"3";"72"
"110004 CACOAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"114";"0";"0";"14";"68";"97";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"298"
"110005 CEREJEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"32";"18";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80"
"110006 COLORADO DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"16";"48"
"110007 CORUMBIARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"7";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"31"
"110008 COSTA MARQUES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32"
"110009 ESPIGAO D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"20";"35";"55";"35";"43";"49";"44";"32";"35";"0";"0";"0";"353"
"110010 GUAJARA-MIRIM";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"31";"20";"18";"0";"21";"136";"7";"7";"14";"4";"64";"77";"86";"102";"96";"93";"86";"60";"66";"59";"38";"14";"1125"
"110011 JARU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"79";"38";"54";"53";"13";"56";"0";"76";"0";"15";"39";"2";"453"
"110012 JI-PARANA";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"3";"0";"0";"144";"173";"128";"124";"170";"134";"128";"3";"0";"0";"2";"1";"1050"
"110013 MACHADINHO D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"0";"0";"0";"0";"60";"40";"41";"47";"41";"45";"39";"47";"40";"29";"45";"19";"583"
"110014 NOVA BRASILANDIA D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"110015 OURO PRETO DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"42";"0";"8";"0";"0";"0";"0";"0";"1";"0";"0";"90"
"110018 PIMENTA BUENO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"46"
"110020 PORTO VELHO";"0";"0";"0";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"0";"0";"7";"0";"439";"0";"0";"0";"0";"0";"0";"0";"2";"10";"1118"
"110025 PRESIDENTE MEDICI";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"18";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"51"
"110026 RIO CRESPO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"110028 ROLIM DE MOURA";"0";"0";"0";"26";"16";"0";"15";"17";"7";"19";"0";"21";"21";"15";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"89";"45";"58";"65";"68";"87";"73";"71";"84";"56";"75";"65";"998"
"110029 SANTA LUZIA D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"9";"7";"7";"8";"6";"8";"11";"9";"0";"9";"7";"3";"87"
"110030 VILHENA";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"153"
"110032 SAO MIGUEL DO GUAPORE";"27";"0";"0";"32";"25";"23";"28";"29";"30";"18";"20";"23";"34";"27";"0";"0";"0";"0";"0";"28";"0";"0";"0";"0";"29";"19";"29";"25";"24";"24";"19";"31";"10";"21";"39";"18";"632"
"110033 NOVA MAMORE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"0";"0";"18";"34";"27";"24";"0";"0";"0";"0";"0";"0";"0";"0";"161"
"110034 ALVORADA D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"25";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"68"
"110037 ALTO ALEGRE DOS PARECIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"10";"9";"10";"20";"0";"0";"0";"0";"0";"0";"0";"0";"66"
"110040 ALTO PARAISO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"24";"22";"11";"5";"0";"23";"25";"0";"0";"18";"0";"0";"145"
"110045 BURITIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31"
"110050 NOVO HORIZONTE DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"15";"6";"8";"7";"0";"0";"8";"12";"11";"8";"0";"83"
"110060 CACAULANDIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"11";"0";"0";"13";"0";"7";"4";"5";"6";"3";"0";"0";"50"
"110070 CAMPO NOVO DE RONDONIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19"
"110080 CANDEIAS DO JAMARI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"0";"0";"37";"30";"13";"38";"31";"34";"41";"36";"3";"28";"0";"0";"316"
"110090 CASTANHEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"4";"0";"7";"6";"5";"8";"6";"4";"3";"4";"7";"5";"64"
"110092 CHUPINGUAIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"10";"9";"19";"11";"10";"14";"16";"30";"15";"11";"20";"178"
"110094 CUJUBIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"26";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68"
"110110 ITAPUA DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"0";"0";"15";"0";"12";"14";"15";"0";"0";"0";"0";"0";"0";"0";"124"
"110120 MINISTRO ANDREAZZA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"14";"7";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"26"
"110130 MIRANTE DA SERRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22"
"110140 MONTE NEGRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"12";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37"
"110143 NOVA UNIAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"110145 PARECIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"4";"3";"5";"6";"0";"5";"4";"2";"4";"9";"3";"52"
"110146 PIMENTEIRAS DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"5";"4";"6";"6";"5";"5";"0";"0";"0";"0";"0";"34"
"110147 PRIMAVERA DE RONDONIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"5";"4";"15";"3";"6";"3";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"44"
"110148 SAO FELIPE D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"6";"6";"6";"3";"7";"2";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43"
"110149 SAO FRANCISCO DO GUAPORE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"26";"27";"26";"26";"26";"26";"26";"26";"26";"26";"26";"313"
"110150 SERINGUEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"20";"18";"0";"29";"17";"18";"17";"10";"14";"9";"0";"10";"165"
"110155 TEIXEIROPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"6";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"110160 THEOBROMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"110170 URUPA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"13";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"39"
"110175 VALE DO ANARI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"28"
"110180 VALE DO PARAISO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"3";"4";"0";"11";"0";"0";"0";"0";"6";"0";"5";"8";"41"
"120001 ACRELANDIA";"2";"0";"0";"1";"1";"4";"5";"4";"12";"3";"7";"8";"24";"15";"24";"19";"17";"22";"7";"3";"7";"11";"5";"6";"9";"15";"8";"0";"0";"0";"0";"0";"2";"0";"0";"0";"241"
"120005 ASSIS BRASIL";"4";"7";"7";"6";"1";"2";"3";"25";"9";"12";"9";"4";"9";"7";"14";"13";"14";"10";"20";"26";"11";"18";"12";"9";"12";"9";"11";"1";"0";"1";"0";"0";"0";"1";"0";"0";"287"
