"Município";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";" Total"
"120005 ASSIS BRASIL";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"5"
"120010 BRASILEIA";"0";"0";"1";"0";"2";"0";"9";"1";"2";"5";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22"
"120013 BUJARI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"120017 CAPIXABA";"0";"0";"0";"2";"16";"13";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"1";"8";"0";"1";"0";"20";"23";"10";"0";"0";"0";"0";"108"
"120020 CRUZEIRO DO SUL";"0";"3";"0";"1";"0";"1";"2";"2";"3";"6";"2";"0";"2";"0";"1";"0";"1";"1";"0";"0";"1";"0";"2";"0";"2";"0";"0";"2";"0";"0";"0";"32"
"120025 EPITACIOLANDIA";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"12"
"120030 FEIJO";"0";"1";"0";"0";"2";"2";"0";"0";"1";"3";"0";"0";"0";"2";"1";"3";"0";"1";"0";"2";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"22"
"120032 JORDAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"120033 MANCIO LIMA";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"120034 MANOEL URBANO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"120035 MARECHAL THAUMATURGO";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"120039 PORTO WALTER";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"120040 RIO BRANCO";"8";"7";"0";"2";"3";"5";"1";"0";"5";"24";"12";"2";"1";"1";"3";"8";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"86"
"120045 SENADOR GUIOMARD";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"8"
"120050 SENA MADUREIRA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"120060 TARAUACA";"0";"0";"1";"0";"1";"0";"0";"0";"0";"4";"0";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"15"
"120070 XAPURI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"120080 PORTO ACRE";"3";"0";"0";"0";"0";"1";"0";"2";"0";"1";"4";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"19"
"130002 ALVARAES";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"130006 AMATURA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
